time,rho_core,rho_sample,delta_rho
0.010000,0.87066763,0.95604389,1.30051600e-02
0.020000,0.87066649,0.95604356,1.29468690e-02
0.030000,0.87066428,0.95604314,1.28875191e-02
0.040000,0.87066111,0.95604267,1.28272212e-02
0.050000,0.87065717,0.95604221,1.27661610e-02
0.060000,0.87065268,0.95604180,1.27045732e-02
0.070000,0.87064791,0.95604149,1.26427099e-02
0.080000,0.87064309,0.95604132,1.25808078e-02
0.090000,0.87063840,0.95604132,1.25190598e-02
0.100000,0.87063399,0.95604152,1.24575945e-02
0.110000,0.87062990,0.95604194,1.23964666e-02
0.120000,0.87062612,0.95604256,1.23356576e-02
0.130000,0.87062256,0.95604336,1.22750881e-02
0.140000,0.87061911,0.95604430,1.22146352e-02
0.150000,0.87061562,0.95604532,1.21541551e-02
0.160000,0.87061195,0.95604636,1.20935041e-02
0.170000,0.87060796,0.95604733,1.20325564e-02
0.180000,0.87060357,0.95604817,1.19712164e-02
0.190000,0.87059872,0.95604880,1.19094244e-02
0.200000,0.87059338,0.95604917,1.18471562e-02
0.210000,0.87058755,0.95604926,1.17844200e-02
0.220000,0.87058128,0.95604905,1.17212497e-02
0.230000,0.87057462,0.95604859,1.16576999e-02
0.240000,0.87056764,0.95604796,1.15938408e-02
0.250000,0.87056041,0.95604725,1.15297546e-02
0.260000,0.87055304,0.95604657,1.14655324e-02
0.270000,0.87054561,0.95604606,1.14012701e-02
0.280000,0.87053823,0.95604584,1.13370621e-02
0.290000,0.87053097,0.95604599,1.12729921e-02
0.300000,0.87052390,0.95604657,1.12091219e-02
0.310000,0.87051704,0.95604758,1.11454790e-02
0.320000,0.87051038,0.95604896,1.10820460e-02
0.330000,0.87050385,0.95605063,1.10187551e-02
0.340000,0.87049733,0.95605244,1.09554882e-02
0.350000,0.87049067,0.95605424,1.08920871e-02
0.360000,0.87048367,0.95605588,1.08283701e-02
0.370000,0.87047617,0.95605723,1.07641552e-02
0.380000,0.87046799,0.95605821,1.06992847e-02
0.390000,0.87045904,0.95605880,1.06336483e-02
0.400000,0.87044927,0.95605901,1.05671987e-02
0.410000,0.87043868,0.95605894,1.04999576e-02
0.420000,0.87042738,0.95605868,1.04320097e-02
0.430000,0.87041549,0.95605839,1.03634870e-02
0.440000,0.87040317,0.95605819,1.02945444e-02
0.450000,0.87039057,0.95605818,1.02253325e-02
0.460000,0.87037781,0.95605843,1.01559718e-02
0.470000,0.87036495,0.95605896,1.00865337e-02
0.480000,0.87035202,0.95605974,1.00170311e-02
0.490000,0.87033897,0.95606069,9.94742098e-03
0.500000,0.87032571,0.95606174,9.87761733e-03
0.510000,0.87031214,0.95606278,9.80751272e-03
0.520000,0.87029815,0.95606373,9.73700374e-03
0.530000,0.87028367,0.95606452,9.66601575e-03
0.540000,0.87026867,0.95606513,9.59452201e-03
0.550000,0.87025318,0.95606556,9.52255369e-03
0.560000,0.87023730,0.95606583,9.45019850e-03
0.570000,0.87022114,0.95606600,9.37758797e-03
0.580000,0.87020488,0.95606612,9.30487525e-03
0.590000,0.87018864,0.95606626,9.23220709e-03
0.600000,0.87017255,0.95606647,9.15969483e-03
0.610000,0.87015665,0.95606677,9.08738958e-03
0.620000,0.87014092,0.95606720,9.01526619e-03
0.630000,0.87012525,0.95606776,8.94321959e-03
0.640000,0.87010948,0.95606843,8.87107470e-03
0.650000,0.87009337,0.95606922,8.79860916e-03
0.660000,0.87007669,0.95607009,8.72558568e-03
0.670000,0.87005922,0.95607103,8.65178879e-03
0.680000,0.87004081,0.95607202,8.57706002e-03
0.690000,0.87002138,0.95607303,8.50132514e-03
0.700000,0.87000096,0.95607404,8.42460862e-03
0.710000,0.86997966,0.95607505,8.34703219e-03
0.720000,0.86995770,0.95607603,8.26879754e-03
0.730000,0.86993531,0.95607699,8.19015575e-03
0.740000,0.86991276,0.95607792,8.11136876e-03
0.750000,0.86989030,0.95607884,8.03266937e-03
0.760000,0.86986807,0.95607976,7.95422668e-03
0.770000,0.86984617,0.95608070,7.87612270e-03
0.780000,0.86982458,0.95608167,7.79834359e-03
0.790000,0.86980321,0.95608270,7.72078636e-03
0.800000,0.86978187,0.95608377,7.64327912e-03
0.810000,0.86976035,0.95608488,7.56561056e-03
0.820000,0.86973845,0.95608601,7.48756344e-03
0.830000,0.86971596,0.95608712,7.40894655e-03
0.840000,0.86969275,0.95608819,7.32962054e-03
0.850000,0.86966875,0.95608919,7.24951473e-03
0.860000,0.86964396,0.95609010,7.16863383e-03
0.870000,0.86961846,0.95609093,7.08705492e-03
0.880000,0.86959239,0.95609167,7.00491637e-03
0.890000,0.86956592,0.95609238,6.92240078e-03
0.900000,0.86953928,0.95609307,6.83971383e-03
0.910000,0.86951265,0.95609380,6.75706100e-03
0.920000,0.86948623,0.95609459,6.67462367e-03
0.930000,0.86946015,0.95609545,6.59253632e-03
0.940000,0.86943447,0.95609640,6.51086688e-03
0.950000,0.86940918,0.95609741,6.42960284e-03
0.960000,0.86938419,0.95609846,6.34864583e-03
0.970000,0.86935931,0.95609951,6.26781723e-03
0.980000,0.86933431,0.95610054,6.18687613e-03
0.990000,0.86930891,0.95610152,6.10554898e-03
1.000000,0.86928285,0.95610246,6.02356801e-03
1.010000,0.86925590,0.95610335,5.94071273e-03
1.020000,0.86922792,0.95610420,5.85684757e-03
1.030000,0.86919890,0.95610503,5.77194788e-03
1.040000,0.86916892,0.95610584,5.68610820e-03
1.050000,0.86913820,0.95610665,5.59952937e-03
1.060000,0.86910699,0.95610742,5.51248525e-03
1.070000,0.86907561,0.95610816,5.42527415e-03
1.080000,0.86904431,0.95610883,5.33816385e-03
1.090000,0.86901329,0.95610943,5.25134084e-03
1.100000,0.86898261,0.95610995,5.16487444e-03
1.110000,0.86895222,0.95611041,5.07870348e-03
1.120000,0.86892193,0.95611084,4.99264907e-03
1.130000,0.86889148,0.95611128,4.90645108e-03
1.140000,0.86886059,0.95611178,4.81982128e-03
1.150000,0.86882900,0.95611240,4.73250203e-03
1.160000,0.86879653,0.95611315,4.64431830e-03
1.170000,0.86876313,0.95611407,4.55521227e-03
1.180000,0.86872886,0.95611515,4.46525341e-03
1.190000,0.86869390,0.95611637,4.37462230e-03
1.200000,0.86865852,0.95611771,4.28357224e-03
1.210000,0.86862297,0.95611913,4.19237699e-03
1.220000,0.86858751,0.95612062,4.10127614e-03
1.230000,0.86855229,0.95612216,4.01042909e-03
1.240000,0.86851736,0.95612375,3.91988684e-03
1.250000,0.86848266,0.95612537,3.82958630e-03
1.260000,0.86844803,0.95612704,3.73936712e-03
1.270000,0.86841325,0.95612875,3.64900629e-03
1.280000,0.86837807,0.95613047,3.55826271e-03
1.290000,0.86834228,0.95613218,3.46692262e-03
1.300000,0.86830573,0.95613382,3.37483731e-03
1.310000,0.86826837,0.95613534,3.28194702e-03
1.320000,0.86823022,0.95613670,3.18828827e-03
1.330000,0.86819142,0.95613787,3.09398495e-03
1.340000,0.86815215,0.95613883,2.99922664e-03
1.350000,0.86811264,0.95613960,2.90423886e-03
1.360000,0.86807311,0.95614022,2.80925085e-03
1.370000,0.86803378,0.95614075,2.71446544e-03
1.380000,0.86799478,0.95614126,2.62003471e-03
1.390000,0.86795622,0.95614182,2.52604351e-03
1.400000,0.86791809,0.95614250,2.43250164e-03
1.410000,0.86788033,0.95614333,2.33934466e-03
1.420000,0.86784282,0.95614434,2.24644251e-03
1.430000,0.86780537,0.95614555,2.15361489e-03
1.440000,0.86776777,0.95614694,2.06065185e-03
1.450000,0.86772980,0.95614850,1.96733758e-03
1.460000,0.86769128,0.95615018,1.87347510e-03
1.470000,0.86765204,0.95615195,1.77890884e-03
1.480000,0.86761198,0.95615376,1.68354204e-03
1.490000,0.86757109,0.95615554,1.58734654e-03
1.500000,0.86752939,0.95615725,1.49036300e-03
1.510000,0.86748700,0.95615881,1.39269153e-03
1.520000,0.86744404,0.95616018,1.29447419e-03
1.530000,0.86740069,0.95616131,1.19587231e-03
1.540000,0.86735710,0.95616218,1.09704289e-03
1.550000,0.86731340,0.95616281,9.98118169e-04
1.560000,0.86726969,0.95616324,8.99191894e-04
1.570000,0.86722601,0.95616353,8.00314115e-04
1.580000,0.86718238,0.95616377,7.01494522e-04
1.590000,0.86713877,0.95616408,6.02712388e-04
1.600000,0.86709515,0.95616452,5.03930000e-04
1.610000,0.86705148,0.95616518,4.05106106e-04
1.620000,0.86700772,0.95616608,3.06206458e-04
1.630000,0.86696384,0.95616721,2.07209843e-04
1.640000,0.86691986,0.95616852,1.08109541e-04
1.650000,0.86687576,0.95616993,8.91150322e-06
1.660000,0.86683157,0.95617136,-9.03687530e-05
1.670000,0.86678730,0.95617272,-1.89708666e-04
1.680000,0.86674299,0.95617395,-2.89079534e-04
1.690000,0.86669868,0.95617502,-3.88446048e-04
1.700000,0.86665440,0.95617594,-4.87765836e-04
1.710000,0.86661020,0.95617675,-5.86991017e-04
1.720000,0.86656613,0.95617753,-6.86073494e-04
1.730000,0.86652223,0.95617837,-7.84974603e-04
1.740000,0.86647851,0.95617934,-8.83678088e-04
1.750000,0.86643496,0.95618050,-9.82203667e-04
1.760000,0.86639151,0.95618189,-1.08061733e-03
1.770000,0.86634804,0.95618349,-1.17903450e-03
1.780000,0.86630440,0.95618529,-1.27761313e-03
1.790000,0.86626041,0.95618721,-1.37653635e-03
1.800000,0.86621587,0.95618919,-1.47598653e-03
1.810000,0.86617064,0.95619114,-1.57611545e-03
1.820000,0.86612463,0.95619300,-1.67701667e-03
1.830000,0.86607781,0.95619469,-1.77870641e-03
1.840000,0.86603026,0.95619618,-1.88111774e-03
1.850000,0.86598212,0.95619744,-1.98411000e-03
1.860000,0.86593358,0.95619846,-2.08749246e-03
1.870000,0.86588484,0.95619923,-2.19105725e-03
1.880000,0.86583610,0.95619977,-2.29461518e-03
1.890000,0.86578748,0.95620010,-2.39802685e-03
1.900000,0.86573908,0.95620026,-2.50122280e-03
1.910000,0.86569087,0.95620027,-2.60420891e-03
1.920000,0.86564278,0.95620020,-2.70705656e-03
1.930000,0.86559471,0.95620009,-2.80988032e-03
1.940000,0.86554652,0.95620001,-2.91280874e-03
1.950000,0.86549810,0.95620002,-3.01595440e-03
1.960000,0.86544938,0.95620017,-3.11938969e-03
1.970000,0.86540034,0.95620050,-3.22313224e-03
1.980000,0.86535102,0.95620105,-3.32714223e-03
1.990000,0.86530151,0.95620182,-3.43133038e-03
2.000000,0.86525193,0.95620280,-3.53557382e-03
2.010000,0.86520242,0.95620394,-3.63973559e-03
2.020000,0.86515311,0.95620519,-3.74368348e-03
2.030000,0.86510411,0.95620649,-3.84730488e-03
2.040000,0.86505551,0.95620778,-3.95051585e-03
2.050000,0.86500737,0.95620899,-4.05326416e-03
2.060000,0.86495969,0.95621009,-4.15552759e-03
2.070000,0.86491249,0.95621106,-4.25730944e-03
2.080000,0.86486573,0.95621192,-4.35863340e-03
2.090000,0.86481938,0.95621270,-4.45953949e-03
2.100000,0.86477337,0.95621344,-4.56008193e-03
2.110000,0.86472765,0.95621421,-4.66032898e-03
2.120000,0.86468213,0.95621507,-4.76036403e-03
2.130000,0.86463671,0.95621606,-4.86028681e-03
2.140000,0.86459127,0.95621720,-4.96021333e-03
2.150000,0.86454569,0.95621851,-5.06027367e-03
2.160000,0.86449982,0.95621994,-5.16060669e-03
2.170000,0.86445353,0.95622144,-5.26135171e-03
2.180000,0.86440669,0.95622293,-5.36263754e-03
2.190000,0.86435918,0.95622433,-5.46457000e-03
2.200000,0.86431095,0.95622557,-5.56721944e-03
2.210000,0.86426196,0.95622659,-5.67061031e-03
2.220000,0.86421224,0.95622733,-5.77471474e-03
2.230000,0.86416189,0.95622781,-5.87945177e-03
2.240000,0.86411101,0.95622803,-5.98469328e-03
2.250000,0.86405978,0.95622804,-6.09027646e-03
2.260000,0.86400838,0.95622791,-6.19602136e-03
2.270000,0.86395697,0.95622770,-6.30175114e-03
2.280000,0.86390573,0.95622749,-6.40731148e-03
2.290000,0.86385476,0.95622734,-6.51258580e-03
2.300000,0.86380413,0.95622728,-6.61750349e-03
2.310000,0.86375387,0.95622736,-6.72203964e-03
2.320000,0.86370397,0.95622757,-6.82620692e-03
2.330000,0.86365439,0.95622792,-6.93004169e-03
2.340000,0.86360509,0.95622840,-7.03358797e-03
2.350000,0.86355602,0.95622901,-7.13688341e-03
2.360000,0.86350717,0.95622971,-7.23995048e-03
2.370000,0.86345853,0.95623052,-7.34279477e-03
2.380000,0.86341011,0.95623140,-7.44541023e-03
2.390000,0.86336191,0.95623235,-7.54778907e-03
2.400000,0.86331393,0.95623335,-7.64993258e-03
2.410000,0.86326616,0.95623436,-7.75185925e-03
2.420000,0.86321855,0.95623536,-7.85360691e-03
2.430000,0.86317106,0.95623631,-7.95522797e-03
2.440000,0.86312363,0.95623716,-8.05677867e-03
2.450000,0.86307621,0.95623787,-8.15830538e-03
2.460000,0.86302877,0.95623841,-8.25983203e-03
2.470000,0.86298133,0.95623876,-8.36135250e-03
2.480000,0.86293392,0.95623890,-8.46283036e-03
2.490000,0.86288660,0.95623886,-8.56420633e-03
2.500000,0.86283944,0.95623866,-8.66541125e-03
2.510000,0.86279250,0.95623834,-8.76638100e-03
2.520000,0.86274583,0.95623797,-8.86706885e-03
2.530000,0.86269946,0.95623760,-8.96745211e-03
2.540000,0.86265337,0.95623730,-9.06753120e-03
2.550000,0.86260756,0.95623712,-9.16732235e-03
2.560000,0.86256200,0.95623712,-9.26684676e-03
2.570000,0.86251669,0.95623732,-9.36612043e-03
2.580000,0.86247160,0.95623771,-9.46514850e-03
2.590000,0.86242676,0.95623827,-9.56392630e-03
2.600000,0.86238216,0.95623895,-9.66244706e-03
2.610000,0.86233780,0.95623967,-9.76071342e-03
2.620000,0.86229366,0.95624033,-9.85874845e-03
2.630000,0.86224969,0.95624085,-9.95660156e-03
2.640000,0.86220581,0.95624111,-1.00543461e-02
2.650000,0.86216195,0.95624107,-1.01520678e-02
2.660000,0.86211801,0.95624067,-1.02498468e-02
2.670000,0.86207395,0.95623992,-1.03477381e-02
2.680000,0.86202976,0.95623887,-1.04457558e-02
2.690000,0.86198545,0.95623760,-1.05438684e-02
2.700000,0.86194111,0.95623622,-1.06420056e-02
2.710000,0.86189682,0.95623485,-1.07400773e-02
2.720000,0.86185267,0.95623360,-1.08379992e-02
2.730000,0.86180871,0.95623257,-1.09357189e-02
2.740000,0.86176494,0.95623180,-1.10332327e-02
2.750000,0.86172132,0.95623131,-1.11305885e-02
2.760000,0.86167776,0.95623105,-1.12278719e-02
2.770000,0.86163416,0.95623094,-1.13251771e-02
2.780000,0.86159047,0.95623090,-1.14225699e-02
2.790000,0.86154667,0.95623083,-1.15200519e-02
2.800000,0.86150286,0.95623062,-1.16175363e-02
2.810000,0.86145921,0.95623024,-1.17148424e-02
2.820000,0.86141599,0.95622963,-1.18117123e-02
2.830000,0.86137349,0.95622881,-1.19078475e-02
2.840000,0.86133200,0.95622781,-1.20029596e-02
2.850000,0.86129175,0.95622667,-1.20968224e-02
2.860000,0.86125285,0.95622544,-1.21893163e-02
2.870000,0.86121530,0.95622416,-1.22804545e-02
2.880000,0.86117894,0.95622287,-1.23703865e-02
2.890000,0.86114351,0.95622158,-1.24593785e-02
2.900000,0.86110866,0.95622028,-1.25477749e-02
2.910000,0.86107403,0.95621897,-1.26359505e-02
2.920000,0.86103924,0.95621761,-1.27242607e-02
2.930000,0.86100401,0.95621621,-1.28130004e-02
2.940000,0.86096814,0.95621472,-1.29023748e-02
2.950000,0.86093151,0.95621316,-1.29924870e-02
2.960000,0.86089414,0.95621150,-1.30833388e-02
2.970000,0.86085609,0.95620975,-1.31748431e-02
2.980000,0.86081754,0.95620789,-1.32668427e-02
2.990000,0.86077869,0.95620590,-1.33591319e-02
3.000000,0.86073977,0.95620376,-1.34514786e-02
3.010000,0.86070102,0.95620144,-1.35436450e-02
3.020000,0.86066266,0.95619894,-1.36354078e-02
3.030000,0.86062488,0.95619622,-1.37265758e-02
3.040000,0.86058782,0.95619331,-1.38170068e-02
3.050000,0.86055157,0.95619021,-1.39066200e-02
3.060000,0.86051614,0.95618696,-1.39954028e-02
3.070000,0.86048148,0.95618362,-1.40834090e-02
3.080000,0.86044746,0.95618024,-1.41707475e-02
3.090000,0.86041397,0.95617688,-1.42575617e-02
3.100000,0.86038083,0.95617360,-1.43440023e-02
3.110000,0.86034792,0.95617044,-1.44301985e-02
3.120000,0.86031516,0.95616741,-1.45162327e-02
3.130000,0.86028254,0.95616451,-1.46021248e-02
3.140000,0.86025009,0.95616172,-1.46878294e-02
3.150000,0.86021791,0.95615899,-1.47732469e-02
3.160000,0.86018614,0.95615626,-1.48582456e-02
3.170000,0.86015491,0.95615346,-1.49426909e-02
3.180000,0.86012433,0.95615054,-1.50264735e-02
3.190000,0.86009447,0.95614743,-1.51095326e-02
3.200000,0.86006531,0.95614409,-1.51918670e-02
3.210000,0.86003681,0.95614049,-1.52735342e-02
3.220000,0.86000886,0.95613664,-1.53546386e-02
3.230000,0.85998133,0.95613256,-1.54353113e-02
3.240000,0.85995408,0.95612828,-1.55156885e-02
3.250000,0.85992700,0.95612384,-1.55958927e-02
3.260000,0.85989998,0.95611930,-1.56760196e-02
3.270000,0.85987296,0.95611469,-1.57561329e-02
3.280000,0.85984591,0.95611005,-1.58362665e-02
3.290000,0.85981881,0.95610541,-1.59164288e-02
3.300000,0.85979169,0.95610076,-1.59966094e-02
3.310000,0.85976456,0.95609610,-1.60767814e-02
3.320000,0.85973747,0.95609142,-1.61569019e-02
3.330000,0.85971049,0.95608671,-1.62369084e-02
3.340000,0.85968369,0.95608195,-1.63167152e-02
3.350000,0.85965718,0.95607714,-1.63962124e-02
3.360000,0.85963111,0.95607227,-1.64752702e-02
3.370000,0.85960560,0.95606733,-1.65537501e-02
3.380000,0.85958079,0.95606233,-1.66315227e-02
3.390000,0.85955677,0.95605725,-1.67084879e-02
3.400000,0.85953359,0.95605207,-1.67845958e-02
3.410000,0.85951125,0.95604676,-1.68598607e-02
3.420000,0.85948965,0.95604128,-1.69343660e-02
3.430000,0.85946866,0.95603560,-1.70082577e-02
3.440000,0.85944808,0.95602970,-1.70817257e-02
3.450000,0.85942770,0.95602358,-1.71549771e-02
3.460000,0.85940733,0.95601723,-1.72282049e-02
3.470000,0.85938682,0.95601071,-1.73015588e-02
3.480000,0.85936610,0.95600406,-1.73751224e-02
3.490000,0.85934514,0.95599733,-1.74489014e-02
3.500000,0.85932403,0.95599058,-1.75228240e-02
3.510000,0.85930290,0.95598383,-1.75967530e-02
3.520000,0.85928193,0.95597711,-1.76705074e-02
3.530000,0.85926133,0.95597041,-1.77438888e-02
3.540000,0.85924127,0.95596371,-1.78167076e-02
3.550000,0.85922192,0.95595700,-1.78888061e-02
3.560000,0.85920339,0.95595024,-1.79600751e-02
3.570000,0.85918573,0.95594342,-1.80304617e-02
3.580000,0.85916893,0.95593653,-1.80999697e-02
3.590000,0.85915295,0.95592958,-1.81686532e-02
3.600000,0.85913769,0.95592259,-1.82366058e-02
3.610000,0.85912302,0.95591555,-1.83039475e-02
3.620000,0.85910882,0.95590847,-1.83708120e-02
3.630000,0.85909495,0.95590132,-1.84373352e-02
3.640000,0.85908128,0.95589406,-1.85036454e-02
3.650000,0.85906770,0.95588665,-1.85698564e-02
3.660000,0.85905411,0.95587903,-1.86360618e-02
3.670000,0.85904044,0.95587116,-1.87023302e-02
3.680000,0.85902666,0.95586302,-1.87687018e-02
3.690000,0.85901276,0.95585462,-1.88351846e-02
3.700000,0.85899876,0.95584601,-1.89017528e-02
3.710000,0.85898472,0.95583724,-1.89683458e-02
3.720000,0.85897074,0.95582839,-1.90348708e-02
3.730000,0.85895693,0.95581952,-1.91012080e-02
3.740000,0.85894343,0.95581066,-1.91672208e-02
3.750000,0.85893039,0.95580183,-1.92327684e-02
3.760000,0.85891793,0.95579301,-1.92977210e-02
3.770000,0.85890616,0.95578414,-1.93619756e-02
3.780000,0.85889513,0.95577517,-1.94254692e-02
3.790000,0.85888487,0.95576601,-1.94881879e-02
3.800000,0.85887533,0.95575662,-1.95501686e-02
3.810000,0.85886644,0.95574698,-1.96114937e-02
3.820000,0.85885808,0.95573707,-1.96722782e-02
3.830000,0.85885011,0.95572694,-1.97326503e-02
3.840000,0.85884243,0.95571660,-1.97927292e-02
3.850000,0.85883494,0.95570610,-1.98526044e-02
3.860000,0.85882759,0.95569546,-1.99123183e-02
3.870000,0.85882041,0.95568469,-1.99718579e-02
3.880000,0.85881346,0.95567378,-2.00311564e-02
3.890000,0.85880685,0.95566272,-2.00901059e-02
3.900000,0.85880069,0.95565149,-2.01485796e-02
3.910000,0.85879512,0.95564010,-2.02064600e-02
3.920000,0.85879021,0.95562858,-2.02636692e-02
3.930000,0.85878597,0.95561697,-2.03201943e-02
3.940000,0.85878234,0.95560537,-2.03761045e-02
3.950000,0.85877915,0.95559386,-2.04315549e-02
3.960000,0.85877618,0.95558251,-2.04867738e-02
3.970000,0.85877315,0.95557139,-2.05420368e-02
3.980000,0.85876979,0.95556050,-2.05976271e-02
3.990000,0.85876583,0.95554980,-2.06537905e-02
4.000000,0.85876114,0.95553921,-2.07106903e-02
4.010000,0.85875564,0.95552862,-2.07683714e-02
4.020000,0.85874945,0.95551788,-2.08267387e-02
4.030000,0.85874280,0.95550687,-2.08855570e-02
4.040000,0.85873603,0.95549550,-2.09444719e-02
4.050000,0.85872959,0.95548370,-2.10030516e-02
4.060000,0.85872393,0.95547146,-2.10608430e-02
4.070000,0.85871945,0.95545880,-2.11174337e-02
4.080000,0.85871648,0.95544581,-2.11725092e-02
4.090000,0.85871518,0.95543255,-2.12258974e-02
4.100000,0.85871557,0.95541913,-2.12775896e-02
4.110000,0.85871749,0.95540560,-2.13277369e-02
4.120000,0.85872066,0.95539205,-2.13766205e-02
4.130000,0.85872472,0.95537850,-2.14246026e-02
4.140000,0.85872928,0.95536496,-2.14720663e-02
4.150000,0.85873401,0.95535144,-2.15193555e-02
4.160000,0.85873865,0.95533791,-2.15667266e-02
4.170000,0.85874305,0.95532437,-2.16143191e-02
4.180000,0.85874720,0.95531080,-2.16621513e-02
4.190000,0.85875118,0.95529717,-2.17101396e-02
4.200000,0.85875514,0.95528347,-2.17581357e-02
4.210000,0.85875924,0.95526968,-2.18059741e-02
4.220000,0.85876363,0.95525580,-2.18535182e-02
4.230000,0.85876838,0.95524180,-2.19006949e-02
4.240000,0.85877347,0.95522769,-2.19475123e-02
4.250000,0.85877882,0.95521346,-2.19940553e-02
4.260000,0.85878429,0.95519912,-2.20404638e-02
4.270000,0.85878973,0.95518471,-2.20868966e-02
4.280000,0.85879500,0.95517024,-2.21334928e-02
4.290000,0.85880000,0.95515575,-2.21803381e-02
4.300000,0.85880473,0.95514126,-2.22274434e-02
4.310000,0.85880925,0.95512680,-2.22747424e-02
4.320000,0.85881370,0.95511236,-2.23221048e-02
4.330000,0.85881824,0.95509793,-2.23693644e-02
4.340000,0.85882304,0.95508348,-2.24163530e-02
4.350000,0.85882823,0.95506896,-2.24629328e-02
4.360000,0.85883391,0.95505433,-2.25090196e-02
4.370000,0.85884009,0.95503954,-2.25545916e-02
4.380000,0.85884673,0.95502458,-2.25996834e-02
4.390000,0.85885378,0.95500943,-2.26443657e-02
4.400000,0.85886114,0.95499410,-2.26887191e-02
4.410000,0.85886875,0.95497862,-2.27328062e-02
4.420000,0.85887660,0.95496303,-2.27766522e-02
4.430000,0.85888469,0.95494735,-2.28202359e-02
4.440000,0.85889309,0.95493160,-2.28634964e-02
4.450000,0.85890189,0.95491581,-2.29063514e-02
4.460000,0.85891116,0.95489997,-2.29487235e-02
4.470000,0.85892095,0.95488409,-2.29905672e-02
4.480000,0.85893124,0.95486815,-2.30318899e-02
4.490000,0.85894197,0.95485214,-2.30727608e-02
4.500000,0.85895302,0.95483608,-2.31133050e-02
4.510000,0.85896422,0.95481996,-2.31536833e-02
4.520000,0.85897541,0.95480381,-2.31940626e-02
4.530000,0.85898645,0.95478764,-2.32345824e-02
4.540000,0.85899725,0.95477145,-2.32753258e-02
4.550000,0.85900780,0.95475525,-2.33163019e-02
4.560000,0.85901818,0.95473901,-2.33574430e-02
4.570000,0.85902852,0.95472269,-2.33986180e-02
4.580000,0.85903897,0.95470625,-2.34396593e-02
4.590000,0.85904972,0.95468962,-2.34803967e-02
4.600000,0.85906089,0.95467277,-2.35206916e-02
4.610000,0.85907258,0.95465567,-2.35604646e-02
4.620000,0.85908478,0.95463831,-2.35997093e-02
4.630000,0.85909743,0.95462073,-2.36384920e-02
4.640000,0.85911041,0.95460299,-2.36769374e-02
4.650000,0.85912356,0.95458515,-2.37152030e-02
4.660000,0.85913671,0.95456731,-2.37534505e-02
4.670000,0.85914973,0.95454952,-2.37918185e-02
4.680000,0.85916252,0.95453183,-2.38304030e-02
4.690000,0.85917503,0.95451428,-2.38692474e-02
4.700000,0.85918729,0.95449684,-2.39083442e-02
4.710000,0.85919933,0.95447949,-2.39476440e-02
4.720000,0.85921122,0.95446217,-2.39870702e-02
4.730000,0.85922308,0.95444482,-2.40265327e-02
4.740000,0.85923497,0.95442739,-2.40659392e-02
4.750000,0.85924700,0.95440985,-2.41052015e-02
4.760000,0.85925924,0.95439217,-2.41442371e-02
4.770000,0.85927178,0.95437436,-2.41829672e-02
4.780000,0.85928468,0.95435643,-2.42213159e-02
4.790000,0.85929803,0.95433840,-2.42592108e-02
4.800000,0.85931188,0.95432031,-2.42965880e-02
4.810000,0.85932629,0.95430217,-2.43333998e-02
4.820000,0.85934127,0.95428401,-2.43696244e-02
4.830000,0.85935681,0.95426584,-2.44052732e-02
4.840000,0.85937287,0.95424769,-2.44403936e-02
4.850000,0.85938937,0.95422958,-2.44750641e-02
4.860000,0.85940621,0.95421153,-2.45093828e-02
4.870000,0.85942329,0.95419356,-2.45434493e-02
4.880000,0.85944052,0.95417572,-2.45773460e-02
4.890000,0.85945787,0.95415803,-2.46111213e-02
4.900000,0.85947532,0.95414050,-2.46447799e-02
4.910000,0.85949291,0.95412311,-2.46782837e-02
4.920000,0.85951072,0.95410586,-2.47115624e-02
4.930000,0.85952882,0.95408868,-2.47445320e-02
4.940000,0.85954729,0.95407152,-2.47771186e-02
4.950000,0.85956618,0.95405431,-2.48092792e-02
4.960000,0.85958548,0.95403700,-2.48410178e-02
4.970000,0.85960513,0.95401954,-2.48723900e-02
4.980000,0.85962503,0.95400195,-2.49034972e-02
4.990000,0.85964506,0.95398423,-2.49344702e-02
5.000000,0.85966507,0.95396644,-2.49654473e-02
5.010000,0.85968494,0.95394864,-2.49965501e-02
5.020000,0.85970459,0.95393093,-2.50278635e-02
5.030000,0.85972399,0.95391335,-2.50594242e-02
5.040000,0.85974313,0.95389598,-2.50912182e-02
5.050000,0.85976209,0.95387882,-2.51231885e-02
5.060000,0.85978094,0.95386186,-2.51552509e-02
5.070000,0.85979978,0.95384507,-2.51873120e-02
5.080000,0.85981870,0.95382838,-2.52192887e-02
5.090000,0.85983774,0.95381172,-2.52511219e-02
5.100000,0.85985695,0.95379501,-2.52827846e-02
5.110000,0.85987631,0.95377818,-2.53142824e-02
5.120000,0.85989579,0.95376119,-2.53456468e-02
5.130000,0.85991534,0.95374400,-2.53769250e-02
5.140000,0.85993492,0.95372660,-2.54081665e-02
5.150000,0.85995448,0.95370900,-2.54394110e-02
5.160000,0.85997401,0.95369122,-2.54706782e-02
5.170000,0.85999350,0.95367330,-2.55019627e-02
5.180000,0.86001301,0.95365527,-2.55332326e-02
5.190000,0.86003256,0.95363720,-2.55644329e-02
5.200000,0.86005225,0.95361913,-2.55954928e-02
5.210000,0.86007214,0.95360113,-2.56263347e-02
5.220000,0.86009232,0.95358326,-2.56568853e-02
5.230000,0.86011283,0.95356558,-2.56870849e-02
